,movie_name,movie_data,movie_scores,movie_type,movie_lang,movie_len
237,怒火青春,1995-05-31,81,剧情,法语,98
238,圣母街上的大人物,1958-07-26,81,"喜剧,犯罪",意大利语,106
239,哈利·波特与死亡圣器（下）,2011-08-04,81,"冒险,奇幻",英语,130
240,请以你的名字呼唤我,2017-11-24,81,"爱情,剧情",英语,132
241,活着,1994-09-30,81,"剧情,爱情,战争",unkonwn,132
242,用心棒,1961-04-25,81,"剧情,惊悚",unkonwn,110
243,奇迹少女 纽约篇,2020-09-26,81,"动画,家庭,动作,冒险,电视电影",法语,61
244,八部半,1963-02-14,81,剧情,意大利语,138
245,热情如火,2002-06-09,81,"喜剧,爱情,犯罪",英语,120
246,神秘博士：博士之时,2013-12-25,81,未知,英语,60
247,复仇者联盟,2012-05-05,81,"科幻,动作,冒险",英语,142
248,黑色五叶草：魔法帝之剑,2023-06-16,81,"动画,奇幻,动作,冒险",日语,113
249,扎克·施奈德版正义联盟,2021-05-03,81,"动作,冒险,奇幻",英语,242
250,看不见的客人,2017-09-15,81,"剧情,悬疑,惊悚",西班牙语,107
251,怪形,1982-06-25,81,"恐怖,悬疑,科幻",英语,109
252,彗星美人,1950-11-09,81,剧情,英语,138
253,家门之外,2021-11-24,81,"动画,家庭",英语,7
254,野草莓,1957-12-26,81,剧情,瑞典语,91
255,大战争,1959-10-28,81,"喜剧,战争,剧情",意大利语,137
256,德州巴黎,2024-07-28,81,剧情,英语,147
257,你给的仇恨,2018-10-19,81,"犯罪,剧情",英语,132
258,还有明天,2025-03-08,81,"剧情,喜剧,历史",意大利语,118
259,龙猫,2018-12-14,81,"奇幻,动画,家庭",日语,86
260,蜗牛回忆录,2025-09-05,81,"动画,喜剧,剧情",英语,95
261,猫猫的奇幻漂流,2025-02-28,81,"冒险,动画,家庭,奇幻",拉脱维亚语,85
262,精英部队,2008-06-14,81,"剧情,动作,犯罪",葡萄牙语,115
263,血色将至,2008-06-14,81,剧情,英语,158
264,欣德·拉贾布之声,2025-09-10,81,"剧情,历史",阿拉伯语,89
265,杀人回忆,2003-04-25,81,"犯罪,剧情,惊悚",朝鲜语,131
266,M就是凶手,1931-05-11,81,"剧情,惊悚,犯罪",德语,110
267,与神同行：罪与罚,2017-12-20,81,"动作,冒险,剧情,奇幻,惊悚",朝鲜语,139
268,特殊的一天,1977-08-11,81,"剧情,爱情",意大利语,106
269,一封关于父亲的信,2008-10-31,81,"纪录,犯罪",英语,94
270,天佑鲍比,2009-02-27,81,"剧情,历史,电视电影",英语,89
271,街角的商店,1940-01-12,81,"喜剧,剧情,爱情",英语,99
272,奇迹梦之队,2026-03-14,81,"动画,喜剧,家庭",英语,100
273,被遗忘的人们,1950-12-09,81,"剧情,犯罪",西班牙语,82
274,象人,2026-04-16,81,"剧情,历史",英语,124
275,白蛇2：青蛇劫起,2021-07-23,81,"动画,奇幻,动作,冒险",unkonwn,131
276,与神同行2：因与缘,2018-08-01,81,"动作,冒险,奇幻,惊悚",朝鲜语,141
277,三块广告牌,2018-03-02,81,"犯罪,剧情",英语,115
278,傲慢与偏见,2026-04-16,81,"剧情,爱情",英语,129
279,隐藏人物,2017-06-16,80,"剧情,历史",英语,127
280,一条狗的使命2,2019-05-17,80,"家庭,冒险,剧情",英语,108
281,轮回,2012-08-22,81,纪录,英语,102
282,新神榜：哪吒重生,2021-02-06,80,"动画,奇幻,动作",unkonwn,116
283,婚姻生活,1974-10-28,80,"剧情,爱情",瑞典语,169
284,天堂的孩子,1945-03-22,80,"剧情,爱情",法语,190
285,2001太空漫游,2016-04-22,80,"科幻,悬疑,冒险",英语,149
286,紫心之恋,2022-07-29,80,"爱情,剧情",英语,122
287,福尔摩斯二世,1924-04-17,80,"动作,喜剧,悬疑",英语,45
288,HOMECOMING: A film by Beyoncé,2019-04-17,80,"纪录,音乐,电视电影",unkonwn,137
289,我的名字叫可汗,2010-02-10,80,"剧情,爱情",印地语,165
290,我对你电影版：S先生的报仇,2020-01-17,80,"家庭,奇幻",意大利语,64
291,窃听风暴,2006-03-23,80,"剧情,惊悚",德语,137
292,雄狮,2017-06-23,80,剧情,英语,118
293,求救信号,2026-09-03,80,"动作,喜剧",英语,110
294,罗生门,1950-08-26,80,"犯罪,剧情,悬疑",日语,88
295,叫我第一名,2008-12-07,80,未知,英语,98
296,驯龙高手：重回家园,2019-12-03,80,"动画,奇幻,冒险,家庭",英语,21
297,出租车司机,2017-08-02,80,"动作,剧情,历史",朝鲜语,137
298,唯一的家园,2025-06-16,80,纪录,阿拉伯语,92
299,相信我：被诱拐的丽莎·麦克维,2018-09-30,80,"剧情,电视电影,犯罪",英语,87
